Trials = 1000000   SKIP
Wishes Available,X,C0,C1,C2,C3,C4,C5,C6   SKIP
1,99.6957,0.3043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,99.4057,0.5933,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000
3,99.0995,0.8975,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000
4,98.7903,1.2046,0.0051,0.0000,0.0000,0.0000,0.0000,0.0000
5,98.4904,1.5001,0.0095,0.0000,0.0000,0.0000,0.0000,0.0000
6,98.2063,1.7770,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000
7,97.8903,2.0893,0.0201,0.0003,0.0000,0.0000,0.0000,0.0000
8,97.6100,2.3640,0.0259,0.0001,0.0000,0.0000,0.0000,0.0000
9,97.3092,2.6565,0.0342,0.0001,0.0000,0.0000,0.0000,0.0000
10,97.0142,2.9425,0.0427,0.0006,0.0000,0.0000,0.0000,0.0000
11,96.7122,3.2403,0.0469,0.0006,0.0000,0.0000,0.0000,0.0000
12,96.4118,3.5260,0.0612,0.0010,0.0000,0.0000,0.0000,0.0000
13,96.0964,3.8331,0.0702,0.0003,0.0000,0.0000,0.0000,0.0000
14,95.8007,4.1171,0.0811,0.0011,0.0000,0.0000,0.0000,0.0000
15,95.4923,4.4080,0.0989,0.0008,0.0000,0.0000,0.0000,0.0000
16,95.1893,4.7017,0.1072,0.0018,0.0000,0.0000,0.0000,0.0000
17,94.8987,4.9819,0.1178,0.0016,0.0000,0.0000,0.0000,0.0000
18,94.6215,5.2463,0.1304,0.0018,0.0000,0.0000,0.0000,0.0000
19,94.2795,5.5644,0.1537,0.0024,0.0000,0.0000,0.0000,0.0000
20,94.0164,5.8174,0.1632,0.0030,0.0000,0.0000,0.0000,0.0000
21,93.7197,6.0871,0.1900,0.0032,0.0000,0.0000,0.0000,0.0000
22,93.3734,6.4169,0.2059,0.0038,0.0000,0.0000,0.0000,0.0000
23,93.1002,6.6747,0.2206,0.0045,0.0000,0.0000,0.0000,0.0000
24,92.8492,6.9062,0.2394,0.0051,0.0001,0.0000,0.0000,0.0000
25,92.5125,7.2348,0.2464,0.0063,0.0000,0.0000,0.0000,0.0000
26,92.2328,7.4831,0.2773,0.0066,0.0002,0.0000,0.0000,0.0000
27,91.9406,7.7514,0.2998,0.0081,0.0001,0.0000,0.0000,0.0000
28,91.6459,8.0144,0.3298,0.0099,0.0000,0.0000,0.0000,0.0000
29,91.3114,8.3269,0.3514,0.0103,0.0000,0.0000,0.0000,0.0000
30,91.0421,8.5766,0.3706,0.0105,0.0002,0.0000,0.0000,0.0000
31,90.7693,8.8041,0.4151,0.0114,0.0001,0.0000,0.0000,0.0000
32,90.4656,9.0933,0.4278,0.0132,0.0001,0.0000,0.0000,0.0000
33,90.1855,9.3453,0.4557,0.0126,0.0009,0.0000,0.0000,0.0000
34,89.8358,9.6672,0.4807,0.0162,0.0001,0.0000,0.0000,0.0000
35,89.6176,9.8490,0.5161,0.0169,0.0004,0.0000,0.0000,0.0000
36,89.2984,10.1393,0.5439,0.0178,0.0006,0.0000,0.0000,0.0000
37,89.0388,10.3709,0.5680,0.0217,0.0005,0.0001,0.0000,0.0000
38,88.6524,10.7168,0.6083,0.0217,0.0008,0.0000,0.0000,0.0000
39,88.4139,10.9279,0.6345,0.0230,0.0007,0.0000,0.0000,0.0000
40,88.0957,11.2263,0.6538,0.0235,0.0007,0.0000,0.0000,0.0000
41,87.8038,11.4603,0.7072,0.0283,0.0004,0.0000,0.0000,0.0000
42,87.5228,11.7095,0.7361,0.0304,0.0012,0.0000,0.0000,0.0000
43,87.1895,12.0193,0.7581,0.0325,0.0006,0.0000,0.0000,0.0000
44,86.9116,12.2327,0.8220,0.0327,0.0010,0.0000,0.0000,0.0000
45,86.6426,12.4827,0.8344,0.0393,0.0010,0.0000,0.0000,0.0000
46,86.3549,12.7187,0.8867,0.0389,0.0008,0.0000,0.0000,0.0000
47,86.0344,13.0000,0.9227,0.0416,0.0012,0.0001,0.0000,0.0000
48,85.6860,13.3020,0.9685,0.0421,0.0014,0.0000,0.0000,0.0000
49,85.4780,13.4708,1.0031,0.0463,0.0018,0.0000,0.0000,0.0000
50,85.2094,13.6994,1.0399,0.0492,0.0021,0.0000,0.0000,0.0000
51,84.8989,13.9712,1.0732,0.0550,0.0015,0.0002,0.0000,0.0000
52,84.6037,14.1977,1.1401,0.0563,0.0021,0.0001,0.0000,0.0000
53,84.3587,14.4378,1.1373,0.0640,0.0021,0.0001,0.0000,0.0000
54,83.9658,14.7449,1.2244,0.0626,0.0022,0.0000,0.0001,0.0000
55,83.7465,14.9444,1.2392,0.0676,0.0023,0.0000,0.0000,0.0000
56,83.4246,15.2049,1.2919,0.0760,0.0026,0.0000,0.0000,0.0000
57,83.2504,15.3533,1.3159,0.0780,0.0023,0.0001,0.0000,0.0000
58,82.8827,15.6472,1.3863,0.0805,0.0033,0.0000,0.0000,0.0000
59,82.6070,15.8757,1.4301,0.0839,0.0033,0.0000,0.0000,0.0000
60,82.3279,16.1070,1.4728,0.0893,0.0030,0.0000,0.0000,0.0000
61,82.0572,16.3224,1.5259,0.0900,0.0043,0.0001,0.0001,0.0000
62,81.7974,16.5404,1.5622,0.0965,0.0034,0.0001,0.0000,0.0000
63,81.4603,16.8112,1.6161,0.1082,0.0040,0.0002,0.0000,0.0000
64,81.1945,17.0383,1.6592,0.1017,0.0059,0.0004,0.0000,0.0000
65,80.8893,17.2710,1.7198,0.1152,0.0045,0.0002,0.0000,0.0000
66,80.6747,17.4344,1.7766,0.1084,0.0059,0.0000,0.0000,0.0000
67,80.2706,17.7776,1.8225,0.1245,0.0048,0.0000,0.0000,0.0000
68,80.0720,17.9029,1.8884,0.1303,0.0059,0.0005,0.0000,0.0000
69,79.7883,18.1265,1.9434,0.1361,0.0056,0.0001,0.0000,0.0000
70,79.4992,18.3734,1.9784,0.1422,0.0064,0.0004,0.0000,0.0000
71,79.1461,18.6538,2.0488,0.1441,0.0069,0.0003,0.0000,0.0000
72,78.9481,18.8035,2.0926,0.1492,0.0061,0.0005,0.0000,0.0000
73,78.6895,18.9916,2.1506,0.1599,0.0084,0.0000,0.0000,0.0000
74,76.6290,21.0039,2.2001,0.1571,0.0096,0.0003,0.0000,0.0000
