Trials = 100000   SKIP
Wishes Available,         X,        C0,        C1,        C2,        C3,        C4,        C5,        C6   SKIP
               1,   99.6970,    0.3030,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
               2,   99.3810,    0.6180,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
               3,   99.1010,    0.8970,    0.0020,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
               4,   98.8480,    1.1480,    0.0040,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
               5,   98.4700,    1.5230,    0.0070,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
               6,   98.1520,    1.8330,    0.0150,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
               7,   97.9260,    2.0590,    0.0150,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
               8,   97.5780,    2.3950,    0.0260,    0.0010,    0.0000,    0.0000,    0.0000,     0.0000
               9,   97.3610,    2.6160,    0.0230,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
              10,   97.0450,    2.9200,    0.0350,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
              11,   96.6170,    3.3270,    0.0560,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
              12,   96.3550,    3.5930,    0.0510,    0.0010,    0.0000,    0.0000,    0.0000,     0.0000
              13,   96.2160,    3.7270,    0.0560,    0.0010,    0.0000,    0.0000,    0.0000,     0.0000
              14,   95.7240,    4.2020,    0.0730,    0.0010,    0.0000,    0.0000,    0.0000,     0.0000
              15,   95.5260,    4.3760,    0.0980,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
              16,   95.0750,    4.8130,    0.1120,    0.0000,    0.0000,    0.0000,    0.0000,     0.0000
              17,   94.9000,    4.9550,    0.1400,    0.0050,    0.0000,    0.0000,    0.0000,     0.0000
              18,   94.5660,    5.2840,    0.1490,    0.0010,    0.0000,    0.0000,    0.0000,     0.0000
              19,   94.3400,    5.5150,    0.1420,    0.0030,    0.0000,    0.0000,    0.0000,     0.0000
              20,   94.0790,    5.7540,    0.1610,    0.0060,    0.0000,    0.0000,    0.0000,     0.0000
              21,   93.8340,    5.9740,    0.1880,    0.0030,    0.0010,    0.0000,    0.0000,     0.0000
              22,   93.3800,    6.4140,    0.2030,    0.0030,    0.0000,    0.0000,    0.0000,     0.0000
              23,   93.1120,    6.6490,    0.2300,    0.0090,    0.0000,    0.0000,    0.0000,     0.0000
              24,   92.7560,    6.9760,    0.2650,    0.0030,    0.0000,    0.0000,    0.0000,     0.0000
