Trials = 100000   SKIP
Wishes Available,X,C0,C1,C2,C3,C4,C5,C6   SKIP
1,99.6900,0.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,99.3920,0.6080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,99.0890,0.9100,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000
4,98.7530,1.2440,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000
5,98.5700,1.4230,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000
6,98.2160,1.7720,0.0120,0.0000,0.0000,0.0000,0.0000,0.0000
7,97.9080,2.0750,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000
8,97.6320,2.3390,0.0290,0.0000,0.0000,0.0000,0.0000,0.0000
9,97.2850,2.6850,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000
10,96.9650,2.9900,0.0440,0.0010,0.0000,0.0000,0.0000,0.0000
11,96.7020,3.2410,0.0560,0.0010,0.0000,0.0000,0.0000,0.0000
12,96.3890,3.5340,0.0760,0.0010,0.0000,0.0000,0.0000,0.0000
13,96.1050,3.8220,0.0730,0.0000,0.0000,0.0000,0.0000,0.0000
14,95.7640,4.1440,0.0900,0.0020,0.0000,0.0000,0.0000,0.0000
15,95.6040,4.2970,0.0980,0.0010,0.0000,0.0000,0.0000,0.0000
16,95.1800,4.7130,0.1060,0.0010,0.0000,0.0000,0.0000,0.0000
17,94.8200,5.0510,0.1280,0.0010,0.0000,0.0000,0.0000,0.0000
18,94.6370,5.2420,0.1170,0.0040,0.0000,0.0000,0.0000,0.0000
19,94.3440,5.4960,0.1580,0.0020,0.0000,0.0000,0.0000,0.0000
20,94.0870,5.7400,0.1690,0.0040,0.0000,0.0000,0.0000,0.0000
21,93.6460,6.1580,0.1950,0.0010,0.0000,0.0000,0.0000,0.0000
22,93.3540,6.4630,0.1800,0.0030,0.0000,0.0000,0.0000,0.0000
23,93.2170,6.5670,0.2120,0.0040,0.0000,0.0000,0.0000,0.0000
24,92.9430,6.8220,0.2280,0.0060,0.0010,0.0000,0.0000,0.0000
25,92.6090,7.1110,0.2770,0.0030,0.0000,0.0000,0.0000,0.0000
26,92.2000,7.4820,0.3070,0.0110,0.0000,0.0000,0.0000,0.0000
27,92.0290,7.6630,0.2970,0.0110,0.0000,0.0000,0.0000,0.0000
28,91.5870,8.0800,0.3230,0.0100,0.0000,0.0000,0.0000,0.0000
29,91.3120,8.3250,0.3580,0.0050,0.0000,0.0000,0.0000,0.0000
30,90.9560,8.6600,0.3760,0.0080,0.0000,0.0000,0.0000,0.0000
31,90.6580,8.9260,0.4020,0.0140,0.0000,0.0000,0.0000,0.0000
32,90.5210,9.0650,0.4050,0.0090,0.0000,0.0000,0.0000,0.0000
33,90.1450,9.3890,0.4570,0.0090,0.0000,0.0000,0.0000,0.0000
34,89.7330,9.7280,0.5270,0.0120,0.0000,0.0000,0.0000,0.0000
35,89.5230,9.9160,0.5390,0.0210,0.0010,0.0000,0.0000,0.0000
36,89.3520,10.0470,0.5850,0.0150,0.0010,0.0000,0.0000,0.0000
37,88.9820,10.4390,0.5520,0.0270,0.0000,0.0000,0.0000,0.0000
38,88.8410,10.5280,0.6140,0.0160,0.0010,0.0000,0.0000,0.0000
39,88.4410,10.8950,0.6380,0.0250,0.0010,0.0000,0.0000,0.0000
40,88.1950,11.1720,0.6140,0.0190,0.0000,0.0000,0.0000,0.0000
41,87.9230,11.3660,0.6870,0.0230,0.0010,0.0000,0.0000,0.0000
42,87.5780,11.6440,0.7510,0.0270,0.0000,0.0000,0.0000,0.0000
43,87.3230,11.8580,0.7890,0.0280,0.0020,0.0000,0.0000,0.0000
44,86.7140,12.4290,0.8170,0.0400,0.0000,0.0000,0.0000,0.0000
45,86.6680,12.4260,0.8660,0.0400,0.0000,0.0000,0.0000,0.0000
46,86.4350,12.5470,0.9810,0.0340,0.0030,0.0000,0.0000,0.0000
47,86.0580,12.9970,0.8930,0.0510,0.0010,0.0000,0.0000,0.0000
48,85.4950,13.5130,0.9450,0.0460,0.0010,0.0000,0.0000,0.0000
49,85.5980,13.3190,1.0370,0.0440,0.0020,0.0000,0.0000,0.0000
50,85.0790,13.7710,1.0990,0.0500,0.0010,0.0000,0.0000,0.0000
51,84.9690,13.8680,1.1070,0.0550,0.0010,0.0000,0.0000,0.0000
52,84.5260,14.3130,1.1110,0.0500,0.0000,0.0000,0.0000,0.0000
53,84.4020,14.3490,1.1860,0.0620,0.0010,0.0000,0.0000,0.0000
54,83.8550,14.8580,1.2240,0.0590,0.0040,0.0000,0.0000,0.0000
55,83.5000,15.1430,1.2950,0.0600,0.0020,0.0000,0.0000,0.0000
56,83.5700,15.0710,1.2960,0.0630,0.0000,0.0000,0.0000,0.0000
57,83.1820,15.3840,1.3700,0.0610,0.0030,0.0000,0.0000,0.0000
58,82.7920,15.7230,1.3980,0.0830,0.0020,0.0020,0.0000,0.0000
59,82.4610,15.9870,1.4590,0.0910,0.0020,0.0000,0.0000,0.0000
60,82.0060,16.3290,1.5700,0.0910,0.0040,0.0000,0.0000,0.0000
61,82.0650,16.3710,1.4670,0.0950,0.0020,0.0000,0.0000,0.0000
62,81.7750,16.5250,1.6000,0.0960,0.0040,0.0000,0.0000,0.0000
63,81.3440,16.9050,1.6480,0.0970,0.0060,0.0000,0.0000,0.0000
64,81.0640,17.1020,1.7110,0.1170,0.0050,0.0010,0.0000,0.0000
65,80.9830,17.2380,1.6650,0.1130,0.0010,0.0000,0.0000,0.0000
66,80.7660,17.4040,1.7190,0.1090,0.0020,0.0000,0.0000,0.0000
67,80.3030,17.7810,1.7940,0.1200,0.0010,0.0010,0.0000,0.0000
68,79.8250,18.0820,1.9460,0.1390,0.0080,0.0000,0.0000,0.0000
69,79.6950,18.2590,1.9200,0.1200,0.0060,0.0000,0.0000,0.0000
70,79.4030,18.5370,1.9390,0.1160,0.0050,0.0000,0.0000,0.0000
71,79.4960,18.3560,2.0050,0.1320,0.0110,0.0000,0.0000,0.0000
