Trials = 100000   SKIP
Wishes Available,         X,        C0,        C1,        C2,        C3,        C4,        C5,        C6   SKIP
               1,   99.7140,    0.2860,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               2,   99.4160,    0.5830,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               3,   99.1180,    0.8800,    0.0020,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               4,   98.7580,    1.2370,    0.0050,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               5,   98.4930,    1.5020,    0.0050,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               6,   98.2220,    1.7660,    0.0120,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               7,   97.8920,    2.0790,    0.0290,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               8,   97.5400,    2.4370,    0.0230,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               9,   97.3020,    2.6560,    0.0420,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
              10,   97.0250,    2.9330,    0.0420,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
              11,   96.6360,    3.3280,    0.0360,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
              12,   96.4620,    3.4840,    0.0540,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
              13,   96.0680,    3.8640,    0.0660,    0.0020,    0.0000,    0.0000,    0.0000,    0.0000
              14,   95.8280,    4.1080,    0.0640,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
              15,   95.4060,    4.5140,    0.0780,    0.0020,    0.0000,    0.0000,    0.0000,    0.0000
              16,   95.1910,    4.6910,    0.1180,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
              17,   95.0660,    4.8050,    0.1280,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000
              18,   94.6320,    5.2300,    0.1370,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000
              19,   94.2560,    5.6040,    0.1400,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
              20,   94.0150,    5.8100,    0.1730,    0.0020,    0.0000,    0.0000,    0.0000,    0.0000
              21,   91.1830,    8.6120,    0.2000,    0.0050,    0.0000,    0.0000,    0.0000,    0.0000
              22,   86.1280,   13.6560,    0.2110,    0.0050,    0.0000,    0.0000,    0.0000,    0.0000
              23,   79.5650,   20.1550,    0.2770,    0.0030,    0.0000,    0.0000,    0.0000,    0.0000
              24,   72.3060,   27.3540,    0.3280,    0.0120,    0.0000,    0.0000,    0.0000,    0.0000
              25,   65.1640,   34.4440,    0.3870,    0.0050,    0.0000,    0.0000,    0.0000,    0.0000
              26,   59.1610,   40.3060,    0.5230,    0.0100,    0.0000,    0.0000,    0.0000,    0.0000
              27,   55.0100,   44.3610,    0.6210,    0.0080,    0.0000,    0.0000,    0.0000,    0.0000
              28,   52.1640,   47.0690,    0.7540,    0.0110,    0.0020,    0.0000,    0.0000,    0.0000
              29,   50.0660,   49.0730,    0.8500,    0.0110,    0.0000,    0.0000,    0.0000,    0.0000
              30,   48.8020,   50.1270,    1.0570,    0.0140,    0.0000,    0.0000,    0.0000,    0.0000
