Trials = 1000000   SKIP
Wishes Available,X,C0,C1,C2,C3,C4,C5,C6   SKIP
1,99.7041,0.2959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,99.3983,0.6017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,99.0875,0.9125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,98.7871,1.2129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,98.4814,1.5186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,98.1965,1.8035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,97.8955,2.1045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,97.6108,2.3892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,97.2899,2.7101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,97.0334,2.9666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,96.7056,3.2944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,96.3940,3.6060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,96.1003,3.8997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,95.8092,4.1908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,95.4819,4.5181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,95.1984,4.8016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,94.9114,5.0886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,94.6014,5.3986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,94.3314,5.6686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,94.0196,5.9804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,93.7152,6.2848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,93.4096,6.5904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,93.0991,6.9009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,92.8585,7.1415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,92.5327,7.4673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,92.1903,7.8097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,91.9157,8.0843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,91.6297,8.3703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,91.3406,8.6594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,91.0474,8.9526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,90.7077,9.2923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,90.3896,9.6104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,90.2010,9.7990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,89.8984,10.1016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,89.5483,10.4517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,89.2461,10.7539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,89.0135,10.9865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,88.6952,11.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,88.3289,11.6711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,88.1052,11.8948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,87.7573,12.2427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,87.5018,12.4982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,87.1244,12.8756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,86.9126,13.0874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,86.6016,13.3984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,86.4410,13.5590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,86.0913,13.9087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,85.7281,14.2719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,85.4895,14.5105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,85.1930,14.8070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,84.8956,15.1044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,84.6155,15.3845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,84.3494,15.6506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,84.0140,15.9860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,83.7004,16.2996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,83.4498,16.5502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,83.2627,16.7373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
58,82.8485,17.1515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,82.5683,17.4317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,82.2851,17.7149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,82.0579,17.9421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
62,81.7664,18.2336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,81.4630,18.5370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,81.2459,18.7541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,80.9100,19.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
66,80.5908,19.4092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,80.3501,19.6499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,80.0466,19.9534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,79.8160,20.1840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,79.4737,20.5263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,79.1670,20.8330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,78.8985,21.1015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,78.6539,21.3461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,76.5777,23.4223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,72.9927,27.0073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
76,67.8436,32.1564,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,62.4555,37.5445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,57.2646,42.7354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,52.8864,47.1136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,49.4238,50.5762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,46.9884,53.0116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,45.4519,54.5481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,44.3135,55.6865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,43.4290,56.5710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,42.9035,57.0965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,42.3175,57.6825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,41.9527,58.0473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,41.5389,58.4611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,41.0669,58.9331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
