Trials = 10000
Wishes Available: 656        Average RU: 6.4228
Wishes Available: 657        Average RU: 6.4304
Wishes Available: 658        Average RU: 6.4366
Wishes Available: 659        Average RU: 6.4231
Wishes Available: 660        Average RU: 6.4382
Wishes Available: 661        Average RU: 6.4482
Wishes Available: 662        Average RU: 6.4556
Wishes Available: 663        Average RU: 6.4432
Wishes Available: 664        Average RU: 6.4626
Wishes Available: 665        Average RU: 6.4714
Wishes Available: 666        Average RU: 6.4727
Wishes Available: 667        Average RU: 6.4801
Wishes Available: 668        Average RU: 6.4905
Wishes Available: 669        Average RU: 6.506
Wishes Available: 670        Average RU: 6.5017
Wishes Available: 671        Average RU: 6.5079
Wishes Available: 672        Average RU: 6.5235
Wishes Available: 673        Average RU: 6.5107
Wishes Available: 674        Average RU: 6.5089
Wishes Available: 675        Average RU: 6.5341
Wishes Available: 676        Average RU: 6.55
Wishes Available: 677        Average RU: 6.5479
Wishes Available: 678        Average RU: 6.5438
Wishes Available: 679        Average RU: 6.5556
Wishes Available: 680        Average RU: 6.553
Wishes Available: 681        Average RU: 6.5703
Wishes Available: 682        Average RU: 6.5748
Wishes Available: 683        Average RU: 6.5743
Wishes Available: 684        Average RU: 6.5881
Wishes Available: 685        Average RU: 6.6023
Wishes Available: 686        Average RU: 6.5802
Wishes Available: 687        Average RU: 6.592
Wishes Available: 688        Average RU: 6.6022
Wishes Available: 689        Average RU: 6.6098
Wishes Available: 690        Average RU: 6.6092
Wishes Available: 691        Average RU: 6.614
Wishes Available: 692        Average RU: 6.6227
Wishes Available: 693        Average RU: 6.6344
Wishes Available: 694        Average RU: 6.6306
Wishes Available: 695        Average RU: 6.6317
Wishes Available: 696        Average RU: 6.6335
Wishes Available: 697        Average RU: 6.6379
Wishes Available: 698        Average RU: 6.6409
Wishes Available: 699        Average RU: 6.6539
Wishes Available: 700        Average RU: 6.6505
Wishes Available: 701        Average RU: 6.6584
Wishes Available: 702        Average RU: 6.663
Wishes Available: 703        Average RU: 6.674
Wishes Available: 704        Average RU: 6.681
Wishes Available: 705        Average RU: 6.672
Wishes Available: 706        Average RU: 6.681
Wishes Available: 707        Average RU: 6.6898
Wishes Available: 708        Average RU: 6.6936
Wishes Available: 709        Average RU: 6.6979
Wishes Available: 710        Average RU: 6.6931
Wishes Available: 711        Average RU: 6.6982
Wishes Available: 712        Average RU: 6.7043
